Version,game_id,score,max_tile,steps,duration_sec
v2,186,5660,256,381,25.02874183654785
v2,187,7900,256,495,37.03060603141785
v2,188,24092,1024,1189,82.16840624809265
v2,189,15700,512,839,60.89319658279419
v2,190,9052,256,578,37.87705826759338
v2,191,8936,256,555,41.41227078437805
v2,42,23988,1024,1154,43.15169382095337
v2,43,15436,512,855,34.425848960876465
v2,44,28132,1024,1321,45.275667905807495
v2,45,8756,256,552,21.79974889755249
v2,46,30516,1024,1416,54.35803842544556
v2,47,7696,256,485,19.377626419067383
v2,48,51084,2048,2198,83.6924786567688
v2,49,29264,2048,1307,49.467766761779785
v2,50,15752,512,840,30.86158490180969
v2,51,13740,512,738,29.1745662689209
v2,52,31740,1024,1466,57.61706566810608
v2,53,16592,512,904,36.00655269622803
v2,54,4496,128,336,12.1728036403656
v2,55,9476,256,614,22.19249963760376
v2,56,13656,512,735,29.799894332885746
v2,57,30848,2048,1392,55.88756346702576
v2,58,16196,512,843,32.09733700752258
v2,59,26644,1024,1282,50.04783058166504
v2,60,29328,1024,1402,54.4073052406311
v2,61,9456,512,553,22.16466784477234
v2,62,13400,512,758,31.520753622055054
v2,63,17044,512,936,36.46100115776062
v2,64,29924,1024,1372,53.21822214126587
v2,65,3816,128,293,10.183159112930298
v2,66,11348,512,637,24.004674673080444
v2,67,39888,2048,1797,72.33605933189392
v2,68,16296,512,876,34.381752729415894
v2,69,5108,128,372,13.64904522895813
v2,70,9172,256,579,22.67716383934021
v2,71,5040,128,366,14.12649917602539
v2,72,16540,512,896,65.86051034927368
v2,73,20148,512,1085,90.41123843193054
v2,74,28728,1024,1395,115.8627951145172
v2,75,15280,512,820,64.94741940498352
v2,76,4756,128,351,28.41179895401001
v2,77,9144,256,564,45.6258716583252
v2,78,4248,128,326,24.40873885154724
v2,79,8036,256,510,38.90546369552612
v2,80,23096,1024,1121,86.7879843711853
v2,81,4228,128,318,23.47518038749695
v2,82,25892,1024,1246,89.24205708503723
v2,83,15452,512,846,64.63267588615417
v2,84,9696,512,592,44.10631704330444
v2,85,29808,2048,1358,102.24877882003784
v2,86,4564,128,331,22.510457277297974
v2,87,7412,256,462,34.97936272621155
v2,88,27444,1024,1333,103.09135270118712
v2,89,9464,256,580,44.63186740875244
v2,90,30372,2048,1405,111.2570731639862
v2,91,5096,128,366,27.23816537857056
v2,92,9832,256,616,42.6720666885376
v2,93,37500,2048,1669,125.3953149318695
v2,94,11472,512,636,50.72207427024841
v2,95,13652,1024,711,57.24106597900391
v2,96,31160,1024,1445,95.761132478714
v2,97,12968,512,745,50.03998947143555
v2,98,18900,1024,963,69.04017353057861
v2,99,25952,1024,1231,83.0470941066742
v2,100,17308,1024,852,61.18169021606445
v2,101,4620,128,337,24.6279890537262
